compound,role,axis_or_class,normal_protection_PN_prior_literature,normal_protection_grade,normal_protection_best_support,normal_protection_caveat,curated_ChEMBL_TN_prior,curated_ChEMBL_TN_status,ChEMBL_accepted_rows,ChEMBL_TierA_rows,PRISM_cancer_preservation_PC_penalty,PRISM_PC_status,removal_axis_RC_proxy,removal_axis_tier,cancer_side_evidence,current_evidence_interpretation,unresolved_gap_flags,next_direct_assay
prexasertib,removal axis_candidate,CHK / DDR checkpoint,,,,,,TN missing / insufficient curated ChEMBL normal-like data,0,0,,not assessed as repair-preservation candidate,0.568,Tier A,removal axis RC proxy=0.568; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
NMS-E973,removal axis_candidate,HSP / proteostasis,,,,,,TN missing / insufficient curated ChEMBL normal-like data,0,0,,not assessed as repair-preservation candidate,0.637,Tier A,removal axis RC proxy=0.637; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
NVP-AUY922,removal axis_candidate,HSP / proteostasis,,,,,1.0,high curated normal-toxicity concern,7,5,,not assessed as repair-preservation candidate,0.637,Tier A,removal axis RC proxy=0.637; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
alvespimycin,removal axis_candidate,HSP / proteostasis,,,,,,TN missing / insufficient curated ChEMBL normal-like data,1,1,,not assessed as repair-preservation candidate,0.637,Tier A,removal axis RC proxy=0.637; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
SB-743921,removal axis_candidate,KIF11 / kinesin / spindle,,,,,,TN missing / insufficient curated ChEMBL normal-like data,0,0,,not assessed as repair-preservation candidate,0.688,Tier A,removal axis RC proxy=0.688; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
filanesib,removal axis_candidate,KIF11 / kinesin / spindle,,,,,,TN missing / insufficient curated ChEMBL normal-like data,0,0,,not assessed as repair-preservation candidate,0.688,Tier A,removal axis RC proxy=0.688; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
ispinesib,removal axis_candidate,KIF11 / kinesin / spindle,,,,,,TN missing / insufficient curated ChEMBL normal-like data,0,0,,not assessed as repair-preservation candidate,0.688,Tier A,removal axis RC proxy=0.688; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
litronesib,removal axis_candidate,KIF11 / kinesin / spindle,,,,,,TN missing / insufficient curated ChEMBL normal-like data,0,0,,not assessed as repair-preservation candidate,0.688,Tier A,removal axis RC proxy=0.688; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
BI-2536,removal axis_candidate,PLK / Aurora / mitotic checkpoint,,,,,1.0,high curated normal-toxicity concern,25,24,,not assessed as repair-preservation candidate,0.76,Tier A,removal axis RC proxy=0.76; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
alisertib,removal axis_candidate,PLK / Aurora / mitotic checkpoint,,,,,1.0,high curated normal-toxicity concern,17,14,,not assessed as repair-preservation candidate,0.76,Tier A,removal axis RC proxy=0.76; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
hesperadin,removal axis_candidate,PLK / Aurora / mitotic checkpoint,,,,,,TN missing / insufficient curated ChEMBL normal-like data,0,0,,not assessed as repair-preservation candidate,0.76,Tier A,removal axis RC proxy=0.76; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
volasertib,removal axis_candidate,PLK / Aurora / mitotic checkpoint,,,,,,TN missing / insufficient curated ChEMBL normal-like data,0,0,,not assessed as repair-preservation candidate,0.76,Tier A,removal axis RC proxy=0.76; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
